a_b,d_b,wave_frequency_K,phi_real_0,phi_imag_0,phi_real_1,phi_imag_1,phi_real_2,phi_imag_2,phi_real_3,phi_imag_3,phi_real_4,phi_imag_4,phi_real_5,phi_imag_5,phi_real_6,phi_imag_6,phi_real_7,phi_imag_7,phi_real_8,phi_imag_8,phi_real_9,phi_imag_9,phi_real_10,phi_imag_10,phi_real_11,phi_imag_11,phi_real_12,phi_imag_12,phi_real_13,phi_imag_13,phi_real_14,phi_imag_14,phi_real_15,phi_imag_15,phi_real_16,phi_imag_16,phi_real_17,phi_imag_17,phi_real_18,phi_imag_18,phi_real_19,phi_imag_19,phi_real_20,phi_imag_20,phi_real_21,phi_imag_21,phi_real_22,phi_imag_22,phi_real_23,phi_imag_23,phi_real_24,phi_imag_24,Added_Mass,Damping_Coefficient
1.0,0.3,1.5,-0.3617007645466355,-1.1923202441361702,-0.3489803551596567,-1.029121042018681,-0.3489821979104629,-1.0291241778690694,-0.34898323289354444,-1.029123844276172,-0.34898485031804505,-1.0291271339797252,-0.3489738965756098,-1.0290948198188588,-0.34898485031804505,-1.0291271339797252,-0.34898323289354444,-1.029123844276172,-0.3489821979104629,-1.0291241778690694,-0.2944302001231834,-0.6132929121538873,-0.29439079142922714,-0.6131575742210839,-0.2944033691226083,-0.6131933076631995,-0.29444262891987355,-0.613314174176952,-0.29435350946235933,-0.613044991970179,-0.29444262891987355,-0.613314174176952,-0.2944033691226083,-0.6131933076631995,-0.29439079142922714,-0.6131575742210839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8213102138699588,1.822472358565715
1.0,0.3,2.0,-0.30319197710126333,-0.8215496990155144,-0.31651732853979003,-0.6744797986265135,-0.3165220066685249,-0.6744841843392577,-0.316525431892263,-0.6744840233311519,-0.316528713393445,-0.674488794296001,-0.3165071875110261,-0.6744433820113817,-0.316528713393445,-0.674488794296001,-0.316525431892263,-0.6744840233311519,-0.3165220066685249,-0.6744841843392577,-0.31541396718529285,-0.3310902379964885,-0.3153434481574207,-0.33088558643378696,-0.3153691824097208,-0.33094092545309595,-0.31544267618808325,-0.331117266271168,-0.3152727590393037,-0.330731638608072,-0.31544267618808325,-0.331117266271168,-0.3153691824097208,-0.33094092545309595,-0.3153434481574207,-0.33088558643378696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8568551470184751,1.0375729603170019
1.0,0.4,0.5,-2.169309681194468,-0.3832168427744985,-2.0076711941875365,-0.35400101564951153,-2.007670892083387,-0.3540009628194249,-2.0076708584626024,-0.35400095736236015,-2.007670224331183,-0.3540008454989711,-2.0076736287165393,-0.3540014457716069,-2.007670224331183,-0.3540008454989711,-2.0076708584626024,-0.35400095736236015,-2.007670892083387,-0.3540009628194249,-1.5043900218296469,-0.2636934219667598,-1.504407336570259,-0.26369648140632623,-1.5044028297920866,-0.26369568618732075,-1.5043871459737763,-0.2636929175355969,-1.5044202962413795,-0.26369876693711525,-1.5043871459737763,-0.2636929175355969,-1.5044028297920866,-0.26369568618732075,-1.504407336570259,-0.26369648140632623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2658432706230585,0.7483795502274714
1.0,0.4,1.0,-1.4066290449238474,-1.3868548933438682,-1.291510124885953,-1.2583990700301295,-1.2915103369069931,-1.2583992739292138,-1.2915106054397452,-1.2583995255383658,-1.2915090004186656,-1.2583979452697434,-1.2915128899637451,-1.2584017836381438,-1.2915090004186656,-1.2583979452697434,-1.2915106054397452,-1.2583995255383658,-1.2915103369069931,-1.2583992739292138,-0.9462553775583379,-0.8868800410812321,-0.9462976573083461,-0.8869216085169713,-0.9462878831335745,-0.8869119741925878,-0.9462541213458697,-0.8868786426369488,-0.9463160635581321,-0.8869399463378436,-0.9462541213458697,-0.8868786426369488,-0.9462878831335745,-0.8869119741925878,-0.9462976573083461,-0.8869216085169713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.695158206189899,2.5416436155375117
1.0,0.4,1.5,-0.7527334478003662,-1.001095608733867,-0.6992419532059444,-0.8835065309740695,-0.699245149234185,-0.88350981934974,-0.699245964881839,-0.883509868081586,-0.6992486682327282,-0.8835129689537234,-0.6992260864911068,-0.8834846200595667,-0.6992486682327282,-0.8835129689537234,-0.699245964881839,-0.883509868081586,-0.699245149234185,-0.88350981934974,-0.5330793310944666,-0.5685304268134984,-0.5330012051798926,-0.5684245525834097,-0.5330239026152034,-0.5684531392748506,-0.5330996031556318,-0.5685505434004521,-0.5329263049584103,-0.5683306797797786,-0.5330996031556318,-0.5685505434004521,-0.5330239026152034,-0.5684531392748506,-0.5330012051798926,-0.5684245525834097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5106147925766034,1.6588865255020662
1.0,0.4,2.0,-0.6001459232814622,-0.6952985302412782,-0.5730990407822187,-0.5895736530107174,-0.5730956824740021,-0.5895711681480569,-0.573093808881723,-0.5895706618485358,-0.5730956762759798,-0.5895734570474596,-0.5731036407663865,-0.5895801946339434,-0.5730956762759798,-0.5895734570474596,-0.573093808881723,-0.5895706618485358,-0.5730956824740021,-0.5895711681480569,-0.4725652533318366,-0.3284291414595568,-0.4725183133343582,-0.3283805449465041,-0.47252427419056764,-0.32838916331552126,-0.47255001628747023,-0.32842451545419865,-0.472531805859637,-0.32838293061382307,-0.47255001628747023,-0.32842451545419865,-0.47252427419056764,-0.32838916331552126,-0.4725183133343582,-0.3283805449465041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3233035447057324,0.9918864473284956
1.25,0.1,0.5,4.975905058140952,-3.6920653767881277,4.160185567212847,-3.099033345358105,4.2318230390578675,-3.1481946743257794,4.304191454524421,-3.197860850141105,4.231818061977772,-3.148191087375915,4.160181129075778,-3.099030240925976,4.231818061977772,-3.148191087375915,4.304191454524421,-3.197860850141105,4.2318230390578675,-3.1481946743257794,2.200501839373501,-1.6642819380786682,2.375165352370259,-1.7839954966491347,2.5575503731810976,-1.9090313295907368,2.375151611392984,-1.783985289168489,2.2005020747799127,-1.6642824675410484,2.375151611392984,-1.783985289168489,2.5575503731810976,-1.9090313295907368,2.375165352370259,-1.7839954966491347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.942426151444497,6.6980116548189645
1.25,0.1,1.0,1.5254137430856198,-1.3796112233986109,0.9475648881206676,-0.9459908787454433,1.0790069463098757,-1.0261568224484239,1.2136122486613543,-1.1083338402972958,1.0790042597940317,-1.0261509768453962,0.9475754129453472,-0.9459968074216277,1.0790042597940317,-1.0261509768453962,1.2136122486613543,-1.1083338402972958,1.0790069463098757,-1.0261568224484239,-0.04651911853542098,-0.16238806781752335,0.22600247220343217,-0.325076644302045,0.5279057608161944,-0.5063025259197997,0.2259190920803279,-0.32499578538760904,-0.04640289679663371,-0.16249251593142533,0.2259190920803278,-0.32499578538760904,0.5279057608161944,-0.5063025259197997,0.22600247220343234,-0.32507664430204514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3494329432830707,1.5581227531638002
1.25,0.1,1.5,1.3261232016186424,0.18784264920450328,0.46312834969707023,-1.812683165280368,0.6368133590858909,-0.25190006303277074,0.8195230357964094,1.3734076924704501,0.6368287583430026,-0.2518465293079526,0.46316841345521836,-1.812676483900961,0.6368287583430026,-0.25184652930795337,0.8195230357964094,1.3734076924704501,0.6368133590858909,-0.25190006303276996,-0.6402101549373316,-3.570630212025795,-0.3886944465384044,-0.6652003311834924,-0.0646815857914804,2.7918774082405213,-0.3888385794722486,-0.6651387582438414,-0.6399833053918689,-3.570696940516853,-0.3888385794722487,-0.665138758243843,-0.0646815857914804,2.7918774082405213,-0.38869444653840424,-0.6652003311834908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3841317612813769,1.234271275318498
1.25,0.1,2.0,1.3124169399895067,1.8667275344041447,0.6840648357145568,0.7737022257647772,0.3651870522233099,0.744489095682686,0.02722920262533941,0.7195117046278733,0.3651700152691702,0.7444809452901424,0.6840877517888876,0.7737357549908634,0.3651700152691703,0.7444809452901424,0.02722920262533941,0.7195117046278733,0.36518705222330977,0.744489095682686,-0.18979289475601135,-0.4246006515107177,-0.8008820778417063,-0.6475808580085691,-1.5723149023215865,-0.8542728812287049,-0.801105901270451,-0.6478983485750681,-0.18948026419383485,-0.4241663792013032,-0.8011059012704508,-0.6478983485750681,-1.5723149023215865,-0.8542728812287049,-0.8008820778417066,-0.6475808580085692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6582367509138183,0.7913598708342298
1.25,0.2,0.5,-4.546967523598928,-6.328537389204381,-4.041925705460849,-5.612173908861555,-4.068489340368625,-5.653022763326317,-4.095175660900917,-5.694064854283186,-4.068487879946674,-5.653020756841538,-4.041934343499863,-5.612185943981569,-4.068487879946674,-5.653020756841538,-4.095175660900917,-5.694064854283186,-4.068489340368625,-5.653022763326317,-2.646554199776839,-3.6452665160493094,-2.7224467702473567,-3.7615624931760396,-2.799598539281428,-3.879893599932613,-2.7224045393250917,-3.761503795766219,-2.6466207980836596,-3.6453591402178933,-2.7224045393250917,-3.761503795766219,-2.799598539281428,-3.879893599932613,-2.7224467702473567,-3.7615624931760396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.83692745638548,13.606979476020463
